iter	Logloss
0	0.6108611489
1	0.5433297468
2	0.490113064
3	0.4476188397
4	0.4132773902
5	0.3817826682
6	0.356431282
7	0.3325623916
8	0.3160265095
9	0.3012978492
10	0.2882762852
11	0.2775636904
12	0.2679178733
13	0.2577482184
14	0.2500895295
15	0.242313099
16	0.2354399286
17	0.2300698827
18	0.2246862565
19	0.2194571179
20	0.2148176138
21	0.2111489076
22	0.2075990006
23	0.2035376597
24	0.2003801678
25	0.1980802716
26	0.1950686043
27	0.1910406342
28	0.1890435481
29	0.1870489278
30	0.1854455829
31	0.1831882901
32	0.1815262658
33	0.1798144634
34	0.1777706915
35	0.1762619358
36	0.1749199459
37	0.1736486234
38	0.1724283753
39	0.1712322196
40	0.1693395635
41	0.1682650762
42	0.1667061512
43	0.1656645201
44	0.1647302891
45	0.1634496257
46	0.1623071251
47	0.1611377795
48	0.1602874593
49	0.1592730221
50	0.1586617208
51	0.1579492733
52	0.1572406424
53	0.1565855089
54	0.1557729976
55	0.1548092768
56	0.1541660512
57	0.1532892996
58	0.1519561648
59	0.1512967396
60	0.1506009551
61	0.1500208809
62	0.1490704552
63	0.1482989935
64	0.1476596585
65	0.14676336
66	0.1460643218
67	0.1452124595
68	0.1444014092
69	0.1434860257
70	0.1429621886
71	0.1424254158
72	0.142009813
73	0.1414264746
74	0.1407318494
75	0.1403196668
76	0.1399102249
77	0.1393509174
78	0.138805311
79	0.138280061
80	0.1377714432
81	0.1374228541
82	0.1368842448
83	0.1363924859
84	0.1360469407
85	0.1354015077
86	0.1348514806
87	0.1342814157
88	0.1338415394
89	0.1333242492
90	0.132953139
91	0.1317992902
92	0.1312573292
93	0.1308928292
94	0.1305792316
95	0.1302897862
96	0.1297927539
97	0.1294515558
98	0.1290306469
99	0.1286730423
100	0.1282250071
101	0.1277147314
102	0.1274532134
103	0.1270723776
104	0.1267842702
105	0.1264291964
106	0.1260189402
107	0.1255643658
108	0.1253216601
109	0.1250119512
110	0.1247447819
111	0.1243497644
112	0.1236218145
113	0.1233044154
114	0.1229269812
115	0.1225648118
116	0.1222921727
117	0.1219336107
118	0.1216435488
119	0.1214299902
120	0.1211379191
121	0.120803787
122	0.1204179116
123	0.1201170247
124	0.1197630238
125	0.1195834977
126	0.1191749919
127	0.1189301785
128	0.1186223377
129	0.1183476909
130	0.1181099771
131	0.1177586599
132	0.1173810106
133	0.1171344159
134	0.1168687349
135	0.1166354398
136	0.1163806622
137	0.1161336563
138	0.1158169452
139	0.1155253903
140	0.1151765188
141	0.1148980966
142	0.1147046991
143	0.114411084
144	0.1141989689
145	0.1140119382
146	0.1138085971
147	0.1136443458
148	0.1134117838
149	0.1131163208
150	0.1128786551
151	0.1126765607
152	0.112425645
153	0.112044198
154	0.1117810402
155	0.1116345564
156	0.1112821176
157	0.1111255565
158	0.1108639375
159	0.1104407503
160	0.1103124846
161	0.1101119132
162	0.1098592165
163	0.1096002679
164	0.1093596078
165	0.1092128618
166	0.109028181
167	0.1088118624
168	0.1086769731
169	0.1082378128
