iter	Passed	Remaining
284	3548	8901
285	3561	8890
286	3574	8879
287	3585	8863
288	3597	8851
289	3610	8839
290	3622	8826
291	3634	8812
292	3647	8800
293	3659	8787
294	3672	8776
295	3685	8764
296	3697	8752
297	3710	8740
298	3722	8727
299	3735	8716
300	3747	8703
301	3760	8690
302	3772	8676
303	3784	8664
304	3796	8650
305	3808	8637
306	3820	8624
307	3832	8611
308	3845	8598
309	3857	8586
310	3870	8573
311	3881	8558
312	3893	8545
313	3905	8533
314	3916	8517
315	3930	8506
316	3942	8495
317	3955	8483
318	3967	8470
319	3979	8456
320	3992	8446
321	4005	8434
322	4018	8423
323	4030	8409
324	4042	8395
325	4054	8382
326	4066	8369
327	4078	8356
328	4092	8345
329	4104	8333
330	4116	8319
331	4128	8306
332	4140	8294
333	4153	8281
334	4164	8266
335	4176	8252
336	4188	8240
337	4202	8230
338	4213	8215
339	4224	8200
340	4237	8189
341	4249	8175
342	4261	8162
343	4273	8149
344	4285	8136
345	4297	8123
346	4308	8107
347	4320	8094
348	4332	8082
349	4345	8070
350	4358	8058
351	4369	8044
352	4382	8031
353	4394	8019
354	4407	8007
355	4419	7994
356	4432	7982
357	4444	7970
358	4456	7957
359	4470	7948
360	4484	7937
361	4497	7926
362	4510	7914
363	4522	7901
364	4534	7888
365	4546	7875
366	4558	7862
367	4569	7847
368	4581	7834
369	4593	7820
370	4604	7807
371	4617	7794
372	4629	7782
373	4641	7769
374	4654	7757
375	4667	7745
376	4679	7732
377	4690	7719
378	4703	7707
379	4715	7694
380	4727	7680
381	4739	7666
382	4750	7653
383	4762	7640
384	4776	7629
385	4787	7615
386	4800	7603
387	4812	7590
388	4823	7576
389	4835	7563
390	4847	7550
391	4859	7537
392	4871	7524
393	4883	7511
394	4895	7498
395	4908	7486
396	4919	7472
397	4931	7459
398	4944	7447
399	4957	7435
400	4969	7423
401	4982	7411
402	4994	7398
403	5007	7386
404	5018	7373
405	5030	7359
406	5042	7347
407	5054	7333
408	5065	7319
409	5078	7307
410	5090	7295
411	5101	7281
412	5113	7268
413	5125	7255
414	5137	7241
415	5149	7229
416	5161	7216
417	5174	7204
418	5188	7193
419	5200	7182
420	5214	7170
421	5226	7158
422	5238	7145
423	5249	7131
424	5262	7119
425	5274	7106
426	5286	7093
427	5299	7082
428	5311	7070
429	5324	7057
430	5335	7044
431	5347	7030
432	5360	7019
433	5373	7007
434	5385	6994
435	5397	6981
436	5408	6968
437	5421	6956
438	5433	6942
439	5445	6930
440	5459	6919
441	5471	6907
442	5484	6895
443	5495	6882
444	5507	6868
445	5519	6856
446	5531	6842
447	5543	6830
448	5555	6817
449	5567	6805
450	5579	6791
451	5592	6779
452	5604	6767
453	5616	6754
454	5628	6741
455	5640	6728
456	5652	6715
457	5663	6702
458	5675	6689
459	5687	6676
460	5700	6664
461	5711	6650
462	5724	6639
463	5736	6626
464	5748	6613
465	5759	6600
466	5772	6588
467	5784	6575
468	5795	6561
469	5807	6548
470	5818	6535
471	5829	6521
472	5841	6508
473	5854	6496
474	5865	6483
475	5877	6470
476	5890	6458
477	5903	6446
478	5915	6433
479	5926	6419
480	5937	6406
481	5949	6394
482	5961	6381
483	5975	6370
484	5988	6358
485	6000	6346
486	6011	6332
487	6023	6319
488	6035	6307
489	6046	6293
490	6059	6281
491	6071	6269
492	6084	6257
493	6097	6245
494	6108	6231
495	6121	6219
496	6132	6206
497	6143	6193
498	6156	6180
499	6167	6167
500	6181	6156
501	6193	6143
502	6205	6131
503	6218	6119
504	6229	6106
505	6240	6092
506	6253	6080
507	6265	6068
508	6277	6055
509	6289	6042
510	6300	6029
511	6313	6017
512	6323	6003
513	6335	5990
514	6348	5978
515	6359	5964
516	6371	5952
517	6384	5940
518	6396	5927
519	6407	5914
520	6419	5902
521	6431	5889
522	6444	5877
523	6456	5865
524	6468	5852
525	6481	5840
526	6493	5827
527	6503	5814
528	6515	5801
529	6526	5787
530	6538	5774
531	6549	5761
532	6561	5749
533	6574	5737
534	6586	5724
535	6598	5712
536	6610	5699
537	6623	5687
538	6635	5675
539	6649	5664
540	6662	5652
541	6674	5640
542	6686	5627
543	6699	5615
544	6711	5603
545	6724	5591
546	6736	5579
547	6749	5566
548	6761	5554
549	6774	5542
550	6786	5530
551	6798	5517
552	6811	5505
553	6822	5492
554	6834	5480
555	6846	5467
556	6858	5455
557	6870	5442
558	6882	5429
559	6894	5417
560	6906	5404
561	6917	5391
562	6930	5379
563	6942	5366
564	6954	5354
565	6966	5341
566	6977	5328
567	6989	5316
568	7001	5303
569	7012	5290
570	7024	5277
571	7036	5265
572	7048	5252
573	7060	5240
574	7072	5227
575	7084	5214
576	7095	5201
577	7107	5189
578	7120	5177
579	7131	5164
580	7143	5151
581	7155	5139
582	7168	5127
583	7181	5115
584	7194	5103
585	7205	5090
586	7216	5077
587	7228	5064
588	7240	5052
589	7253	5040
590	7264	5027
591	7276	5014
592	7288	5002
593	7300	4990
594	7311	4976
595	7324	4964
596	7336	4952
597	7347	4939
598	7359	4927
599	7372	4914
600	7384	4902
601	7395	4889
602	7406	4876
603	7418	4863
604	7430	4851
605	7443	4839
606	7455	4827
607	7468	4815
608	7480	4802
609	7493	4790
610	7505	4778
611	7517	4765
612	7528	4753
613	7540	4740
614	7552	4727
615	7563	4715
616	7575	4702
617	7587	4690
618	7599	4677
619	7611	4664
620	7623	4652
621	7636	4640
622	7648	4628
623	7659	4615
624	7672	4603
625	7683	4590
626	7694	4577
627	7707	4565
628	7720	4553
629	7732	4541
630	7744	4528
631	7756	4516
632	7768	4503
633	7780	4491
634	7792	4479
635	7805	4467
636	7817	4454
637	7829	4442
638	7841	4430
639	7853	4417
640	7866	4405
641	7878	4393
642	7891	4381
643	7903	4369
644	7916	4357
645	7928	4344
646	7940	4332
647	7953	4320
648	7966	4308
649	7978	4296
650	7990	4283
651	8002	4271
652	8015	4259
653	8027	4246
654	8039	4234
655	8052	4222
656	8064	4210
657	8076	4197
658	8089	4185
659	8100	4173
660	8113	4160
661	8124	4148
662	8136	4135
663	8149	4123
664	8163	4112
665	8175	4100
666	8187	4087
667	8200	4075
668	8213	4063
669	8224	4051
670	8237	4038
671	8249	4026
672	8261	4013
673	8273	4001
674	8285	3989
675	8297	3976
676	8308	3964
677	8320	3951
678	8332	3939
679	8344	3926
680	8356	3914
681	8367	3901
682	8378	3888
683	8390	3876
684	8401	3863
685	8413	3851
686	8425	3838
687	8438	3826
688	8451	3814
689	8464	3802
690	8476	3790
691	8487	3777
692	8498	3764
693	8510	3752
694	8522	3739
695	8534	3727
696	8545	3715
697	8557	3702
698	8569	3690
699	8581	3677
700	8593	3665
701	8604	3652
702	8616	3640
703	8628	3627
704	8641	3615
705	8652	3603
706	8665	3591
707	8676	3578
708	8689	3566
709	8701	3554
710	8714	3542
711	8726	3529
712	8737	3517
713	8749	3504
714	8762	3492
715	8774	3480
716	8785	3467
717	8796	3454
718	8808	3442
719	8821	3430
720	8833	3418
721	8844	3405
722	8856	3393
723	8868	3380
724	8880	3368
725	8892	3356
726	8905	3344
727	8917	3331
728	8929	3319
729	8941	3307
730	8953	3294
731	8966	3282
732	8978	3270
733	8991	3258
734	9003	3246
735	9014	3233
736	9027	3221
737	9040	3209
738	9051	3196
739	9063	3184
740	9075	3172
741	9087	3159
742	9098	3147
743	9110	3134
744	9123	3122
745	9134	3110
746	9146	3097
747	9159	3085
748	9172	3073
749	9183	3061
750	9196	3049
751	9209	3037
752	9222	3025
753	9233	3012
754	9245	3000
755	9258	2988
756	9271	2976
757	9282	2963
758	9295	2951
759	9308	2939
760	9327	2929
761	9339	2917
762	9351	2904
763	9364	2892
764	9376	2880
765	9389	2868
766	9401	2855
767	9413	2843
768	9427	2831
769	9439	2819
770	9453	2807
771	9465	2795
772	9478	2783
773	9491	2771
774	9504	2759
775	9516	2747
776	9529	2734
777	9541	2722
778	9553	2710
779	9565	2698
780	9578	2685
781	9591	2673
782	9603	2661
783	9615	2649
784	9628	2637
785	9639	2624
786	9651	2612
787	9663	2599
788	9675	2587
789	9687	2575
790	9699	2562
791	9711	2550
792	9723	2538
793	9735	2525
794	9748	2513
795	9760	2501
796	9772	2489
797	9784	2476
798	9796	2464
799	9808	2452
800	9821	2440
801	9833	2427
802	9845	2415
803	9858	2403
804	9870	2390
805	9882	2378
806	9894	2366
807	9906	2354
808	9918	2341
809	9930	2329
810	9942	2317
811	9954	2304
812	9965	2292
813	9977	2279
814	9988	2267
815	10000	2255
816	10012	2242
817	10025	2230
818	10037	2218
819	10050	2206
820	10062	2193
821	10074	2181
822	10087	2169
823	10100	2157
824	10111	2144
825	10123	2132
826	10138	2120
827	10151	2108
828	10164	2096
829	10176	2084
830	10188	2071
831	10200	2059
832	10212	2047
833	10224	2035
834	10236	2022
835	10248	2010
836	10259	1998
837	10271	1985
838	10283	1973
839	10295	1961
840	10307	1948
841	10319	1936
842	10331	1924
843	10343	1911
844	10356	1899
845	10369	1887
846	10381	1875
847	10394	1863
848	10406	1850
849	10419	1838
850	10432	1826
851	10446	1814
852	10458	1802
853	10470	1790
854	10481	1777
855	10494	1765
856	10506	1753
857	10519	1740
858	10531	1728
859	10543	1716
860	10556	1704
861	10568	1691
862	10581	1679
863	10593	1667
864	10605	1655
865	10617	1642
866	10630	1630
867	10642	1618
868	10654	1606
869	10666	1593
870	10678	1581
871	10690	1569
872	10703	1557
873	10716	1544
874	10728	1532
875	10740	1520
876	10752	1508
877	10764	1495
878	10776	1483
879	10788	1471
880	10800	1458
881	10812	1446
882	10823	1434
883	10834	1421
884	10845	1409
885	10857	1397
886	10869	1384
887	10881	1372
888	10893	1360
889	10905	1347
890	10917	1335
891	10929	1323
892	10941	1311
893	10953	1298
894	10965	1286
895	10977	1274
896	10988	1261
897	11001	1249
898	11013	1237
899	11026	1225
900	11039	1212
901	11052	1200
902	11065	1188
903	11077	1176
904	11090	1164
905	11102	1151
906	11115	1139
907	11129	1127
908	11142	1115
909	11153	1103
910	11166	1090
911	11178	1078
912	11190	1066
913	11202	1054
914	11213	1041
915	11225	1029
916	11237	1017
917	11250	1004
918	11262	992
919	11277	980
920	11290	968
921	11304	956
922	11316	944
923	11329	931
924	11342	919
925	11357	907
926	11370	895
927	11382	883
928	11395	870
929	11409	858
930	11422	846
931	11435	834
932	11447	822
933	11460	809
934	11472	797
935	11485	785
936	11497	773
937	11511	760
938	11522	748
939	11534	736
940	11547	724
941	11560	711
942	11573	699
943	11585	687
944	11596	674
945	11608	662
946	11619	650
947	11632	638
948	11644	625
949	11655	613
950	11667	601
951	11679	588
952	11692	576
953	11705	564
954	11717	552
955	11729	539
956	11742	527
957	11754	515
958	11768	503
959	11782	490
960	11796	478
961	11817	466
962	11831	454
963	11843	442
964	11855	430
965	11868	417
966	11880	405
967	11892	393
968	11905	380
969	11917	368
970	11929	356
971	11942	344
972	11954	331
973	11965	319
974	11977	307
975	11989	294
976	12000	282
977	12012	270
978	12024	257
979	12036	245
980	12048	233
981	12059	221
982	12072	208
983	12084	196
984	12096	184
985	12108	171
986	12122	159
987	12136	147
988	12148	135
989	12160	122
990	12174	110
991	12186	98
992	12199	85
993	12212	73
994	12224	61
995	12238	49
996	12251	36
997	12263	24
998	12276	12
999	12289	0
